accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2022-05-21,11:29:29,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-05-20,14:25:25,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-05-20,17:27:27,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2022-05-20,12:12:12,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-19,13:33:33,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-19,02:50:50,บางพลี-สุขสวัสดิ์,ปกติ,1,1,0,0,ขับรถเร็วเกินไป
2022-05-19,12:04:04,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-05-19,17:25:25,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2022-05-18,01:05:05,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-05-18,17:19:19,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
